ID,Agency,Agency Type,Distribution Channel,Product Name,Duration,Destination,Net Sales,Commision (in value),Age,Claim
6004,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,26,MALAYSIA,29.7,17.82,28,0
2511,EPX,Travel Agency,Online,1 way Comprehensive Plan,9,CHINA,20,0,36,0
6507,CSR,Travel Agency,Offline,Comprehensive Plan,55,MALAYSIA,29,9.57,61,0
2969,EPX,Travel Agency,Online,2 way Comprehensive Plan,15,MALAYSIA,20,0,36,0
9156,JWT,Airlines,Online,Value Plan,49,INDIA,31,12.4,118,0
6426,EPX,Travel Agency,Online,2 way Comprehensive Plan,122,"KOREA, REPUBLIC OF",52,0,36,0
2515,EPX,Travel Agency,Online,Cancellation Plan,45,"KOREA, REPUBLIC OF",10,0,24,0
9154,EPX,Travel Agency,Online,Cancellation Plan,5,CAMBODIA,10,0,36,0
5771,EPX,Travel Agency,Online,Cancellation Plan,7,THAILAND,10,0,36,0
3465,TST,Travel Agency,Offline,Travel Cruise Protect,72,MALAYSIA,30,10.5,59,0
2691,EPX,Travel Agency,Online,1 way Comprehensive Plan,20,UNITED STATES,20,0,40,0
2406,C2B,Airlines,Online,Annual Gold Plan,391,SINGAPORE,449.25,112.31,32,0
9317,EPX,Travel Agency,Online,2 way Comprehensive Plan,90,CHINA,45.9587685,0,36,1
4717,EPX,Travel Agency,Online,Cancellation Plan,25,UNITED STATES,69,0,46,0
7759,EPX,Travel Agency,Online,Cancellation Plan,2,MALAYSIA,11,0,22,0
9669,EPX,Travel Agency,Online,1 way Comprehensive Plan,11,INDONESIA,24,0,36,0
2561,EPX,Travel Agency,Online,2 way Comprehensive Plan,15,SINGAPORE,31,0,36,0
3271,EPX,Travel Agency,Online,2 way Comprehensive Plan,61,UNITED KINGDOM,80,0,36,0
3315,EPX,Travel Agency,Online,2 way Comprehensive Plan,24,MALAYSIA,20,0,36,0
5013,C2B,Airlines,Online,Silver Plan,148,SINGAPORE,245.8563468,61.46610115,50,1
5266,C2B,Airlines,Online,Bronze Plan,77,SINGAPORE,0,15,28,0
2604,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,23,AUSTRALIA,89.1,53.46,33,0
7385,EPX,Travel Agency,Online,Cancellation Plan,67,MONGOLIA,52,0,36,0
4313,C2B,Airlines,Online,Annual Silver Plan,365,SINGAPORE,252.85,63.21,61,1
5740,EPX,Travel Agency,Online,Cancellation Plan,10,UNITED STATES,80,0,74,0
9723,EPX,Travel Agency,Online,2 way Comprehensive Plan,23,VIET NAM,23,0,36,0
3108,EPX,Travel Agency,Online,Cancellation Plan,5,MALAYSIA,10,0,49,0
7521,C2B,Airlines,Online,Bronze Plan,1,SINGAPORE,13.8,3.45,30,0
7537,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,44,MALAYSIA,29.7,17.82,51,0
3804,EPX,Travel Agency,Online,2 way Comprehensive Plan,20,"KOREA, REPUBLIC OF",50,0,36,0
8880,LWC,Travel Agency,Online,Single Trip Travel Protect Gold,3,JAPAN,26.65194734,17.32376577,31,1
4288,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,18,SOUTH AFRICA,79.2,47.52,35,0
3619,C2B,Airlines,Online,Annual Silver Plan,396,SINGAPORE,291.75,72.94,34,1
5498,EPX,Travel Agency,Online,2 way Comprehensive Plan,54,PHILIPPINES,20,0,36,0
8985,EPX,Travel Agency,Online,2 way Comprehensive Plan,57,AUSTRALIA,45,0,29,0
6695,EPX,Travel Agency,Online,1 way Comprehensive Plan,5,PHILIPPINES,20,0,36,0
4930,EPX,Travel Agency,Online,Cancellation Plan,12,CHINA,41,0,36,0
7666,EPX,Travel Agency,Online,2 way Comprehensive Plan,11,UNITED STATES,61.73906447,0,36,1
5164,EPX,Travel Agency,Online,Cancellation Plan,19,MALAYSIA,16,0,54,0
9574,EPX,Travel Agency,Online,Cancellation Plan,8,BRUNEI DARUSSALAM,23,0,36,0
9688,EPX,Travel Agency,Online,2 way Comprehensive Plan,26,VIET NAM,20,0,40,0
5146,EPX,Travel Agency,Online,2 way Comprehensive Plan,14,EGYPT,0,0,44,0
2178,EPX,Travel Agency,Online,Cancellation Plan,8,HONG KONG,44,0,36,0
3370,C2B,Airlines,Online,Silver Plan,27,SINGAPORE,43.55,10.89,75,0
4982,EPX,Travel Agency,Online,Cancellation Plan,19,MALAYSIA,10,0,66,0
2482,EPX,Travel Agency,Online,Cancellation Plan,19,SINGAPORE,39,0,36,0
2814,JWT,Airlines,Online,Value Plan,22,INDIA,50,20,118,0
6679,C2B,Airlines,Online,Annual Silver Plan,369,SINGAPORE,216,54,35,0
4208,C2B,Airlines,Online,Silver Plan,9,SINGAPORE,42.86056044,10.71785422,44,1
8044,EPX,Travel Agency,Online,2 way Comprehensive Plan,32,MALAYSIA,21,0,26,0
9298,C2B,Airlines,Online,Silver Plan,2,SINGAPORE,37,9.25,46,0
6536,EPX,Travel Agency,Online,2 way Comprehensive Plan,58,CZECH REPUBLIC,112,0,36,0
2692,C2B,Airlines,Online,Bronze Plan,9,SINGAPORE,13.5,3.38,27,0
4766,EPX,Travel Agency,Online,2 way Comprehensive Plan,62,AUSTRALIA,58,0,36,0
5056,EPX,Travel Agency,Online,Cancellation Plan,63,"KOREA, REPUBLIC OF",26,0,36,0
3888,EPX,Travel Agency,Online,2 way Comprehensive Plan,65,THAILAND,22.08395166,0,36,1
5812,EPX,Travel Agency,Online,2 way Comprehensive Plan,81,UNITED STATES,112,0,33,0
5925,EPX,Travel Agency,Online,2 way Comprehensive Plan,96,CANADA,47,0,46,0
3803,EPX,Travel Agency,Online,Cancellation Plan,25,THAILAND,10,0,45,0
2719,C2B,Airlines,Online,Silver Plan,13,SINGAPORE,52.14153368,13.04038342,30,1
2519,JZI,Airlines,Online,Basic Plan,68,"KOREA, REPUBLIC OF",35,12.25,39,0
5058,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,62,AUSTRALIA,99,59.4,32,0
9734,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,81,UNITED KINGDOM,-128.7,77.22,63,0
6087,EPX,Travel Agency,Online,Cancellation Plan,29,VIET NAM,10.58260562,0,32,1
6521,EPX,Travel Agency,Online,Cancellation Plan,15,GERMANY,72,0,36,0
6889,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,9,UNITED STATES,89.1,53.46,45,0
3284,C2B,Airlines,Online,Annual Silver Plan,376,SINGAPORE,216,54,35,1
4207,JWT,Airlines,Online,Value Plan,46,INDIA,31,12.4,118,0
5724,EPX,Travel Agency,Online,2 way Comprehensive Plan,8,VIET NAM,27,0,36,0
3877,EPX,Travel Agency,Online,Cancellation Plan,34,NEPAL,17,0,36,0
9053,EPX,Travel Agency,Online,Cancellation Plan,6,JAPAN,11.58112934,0,41,1
3048,EPX,Travel Agency,Online,Cancellation Plan,43,JAPAN,34,0,39,0
4465,EPX,Travel Agency,Online,1 way Comprehensive Plan,41,AUSTRALIA,20,0,28,0
8181,EPX,Travel Agency,Online,Cancellation Plan,6,CHINA,22,0,36,0
7568,EPX,Travel Agency,Online,2 way Comprehensive Plan,14,PAKISTAN,59,0,36,0
2197,EPX,Travel Agency,Online,2 way Comprehensive Plan,42,FRANCE,88,0,36,0
6262,JZI,Airlines,Online,Basic Plan,49,MYANMAR,42,14.7,28,0
6368,EPX,Travel Agency,Online,2 way Comprehensive Plan,93,NEPAL,24,0,36,0
3642,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,13,MALAYSIA,0,11.88,62,0
8357,EPX,Travel Agency,Online,2 way Comprehensive Plan,47,JAPAN,0,0,36,0
9805,C2B,Airlines,Online,Annual Silver Plan,364,SINGAPORE,252.85,63.21,30,1
5804,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,39,AUSTRALIA,59.4,35.64,23,0
2198,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,32,UNITED KINGDOM,59.4,35.64,31,0
9233,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,26,GERMANY,0,47.52,39,0
9377,JZI,Airlines,Online,Basic Plan,50,CHINA,22,7.7,26,0
7901,EPX,Travel Agency,Online,Cancellation Plan,16,JAPAN,27,0,36,0
3147,C2B,Airlines,Online,Bronze Plan,2,SINGAPORE,26.85205852,6.713225975,36,1
6453,EPX,Travel Agency,Online,2 way Comprehensive Plan,18,HONG KONG,43,0,36,0
2361,EPX,Travel Agency,Online,2 way Comprehensive Plan,33,"KOREA, REPUBLIC OF",62,0,36,0
7907,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,54,AUSTRALIA,49.5,29.7,28,0
7086,JWT,Airlines,Online,Value Plan,89,INDIA,117,46.8,118,0
6175,EPX,Travel Agency,Online,2 way Comprehensive Plan,84,THAILAND,20,0,28,0
2511,LWC,Travel Agency,Online,Single Trip Travel Protect Silver,7,INDONESIA,25,16.25,37,0
4113,EPX,Travel Agency,Online,2 way Comprehensive Plan,34,"TAIWAN, PROVINCE OF CHINA",63,0,36,0
2656,C2B,Airlines,Online,Silver Plan,14,SINGAPORE,47.95895692,11.99473923,21,1
5278,C2B,Airlines,Online,Bronze Plan,20,SINGAPORE,24.21296417,6.053434646,50,1
4095,C2B,Airlines,Online,Silver Plan,66,SINGAPORE,72.32209435,18.08052359,33,1
3574,C2B,Airlines,Online,Annual Silver Plan,365,SINGAPORE,252.85,63.21,57,1
3367,EPX,Travel Agency,Online,Cancellation Plan,4,CHINA,10,0,36,0
4575,EPX,Travel Agency,Online,2 way Comprehensive Plan,56,JAPAN,58,0,36,0
9309,EPX,Travel Agency,Online,Cancellation Plan,2,THAILAND,16,0,36,0
6936,EPX,Travel Agency,Online,Cancellation Plan,20,PHILIPPINES,14,0,36,0
8993,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,52,MALAYSIA,19.8,11.88,42,0
9417,EPX,Travel Agency,Online,Cancellation Plan,6,INDONESIA,12,0,36,0
5678,EPX,Travel Agency,Online,1 way Comprehensive Plan,14,SINGAPORE,20,0,33,0
7747,EPX,Travel Agency,Online,Cancellation Plan,15,CANADA,-17,0,24,0
8920,C2B,Airlines,Online,Bronze Plan,12,SINGAPORE,29.5,7.38,27,0
2494,RAB,Airlines,Online,Value Plan,43,BRUNEI DARUSSALAM,50,20,30,0
6794,EPX,Travel Agency,Online,Cancellation Plan,14,INDONESIA,10,0,26,0
3671,JZI,Airlines,Online,Basic Plan,25,INDONESIA,18,6.3,29,0
5197,C2B,Airlines,Online,Bronze Plan,2,SINGAPORE,27,6.75,22,1
8512,C2B,Airlines,Online,Annual Silver Plan,367,SINGAPORE,216,54,54,1
8184,C2B,Airlines,Online,Silver Plan,60,SINGAPORE,62,15.5,22,0
6184,EPX,Travel Agency,Online,Cancellation Plan,14,MALAYSIA,13,0,36,0
2890,JWT,Airlines,Online,Value Plan,68,INDIA,180,72,118,0
5964,C2B,Airlines,Online,Silver Plan,12,SINGAPORE,15,3.75,44,0
3099,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,29,"TAIWAN, PROVINCE OF CHINA",59.4,35.64,38,0
8557,EPX,Travel Agency,Online,2 way Comprehensive Plan,37,VIET NAM,20,0,36,0
6039,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,19,MALAYSIA,19.8,11.88,31,0
5369,EPX,Travel Agency,Online,Cancellation Plan,2,VIET NAM,10,0,36,0
2190,EPX,Travel Agency,Online,2 way Comprehensive Plan,16,JAPAN,48,0,36,0
5376,EPX,Travel Agency,Online,2 way Comprehensive Plan,27,HONG KONG,22.52116417,0,37,1
9855,EPX,Travel Agency,Online,2 way Comprehensive Plan,40,CAMBODIA,20,0,36,0
8926,EPX,Travel Agency,Online,Cancellation Plan,16,JAPAN,80,0,45,0
2811,C2B,Airlines,Online,Annual Silver Plan,392,SINGAPORE,252.85,63.21,47,1
9933,EPX,Travel Agency,Online,Cancellation Plan,33,THAILAND,10,0,33,0
9246,EPX,Travel Agency,Online,1 way Comprehensive Plan,11,CAMBODIA,20,0,36,0
3698,EPX,Travel Agency,Online,2 way Comprehensive Plan,54,VIET NAM,29,0,36,0
7915,EPX,Travel Agency,Online,Cancellation Plan,3,THAILAND,15,0,49,0
6028,EPX,Travel Agency,Online,1 way Comprehensive Plan,24,UNITED STATES,34,0,47,0
2225,C2B,Airlines,Online,Bronze Plan,6,SINGAPORE,16,4,44,0
8414,C2B,Airlines,Online,Annual Silver Plan,371,SINGAPORE,187.85,46.96,46,1
2768,TST,Travel Agency,Offline,Travel Cruise Protect,17,MALAYSIA,30,10.5,64,0
6963,C2B,Airlines,Online,Silver Plan,13,SINGAPORE,39,9.75,43,0
5283,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,70,JAPAN,49.5,29.7,44,0
7002,EPX,Travel Agency,Online,Cancellation Plan,74,PHILIPPINES,10,0,36,0
7667,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,38,AUSTRALIA,69.3,41.58,39,1
4722,C2B,Airlines,Online,Bronze Plan,37,SINGAPORE,32.79252841,8.202051425,30,1
9942,C2B,Airlines,Online,Annual Silver Plan,364,SINGAPORE,216,54,31,1
6925,C2B,Airlines,Online,Silver Plan,91,SINGAPORE,22.5,5.63,68,0
8580,EPX,Travel Agency,Online,Cancellation Plan,22,SPAIN,11.60135228,0,27,1
6591,RAB,Airlines,Online,Value Plan,2,MALAYSIA,15,6,58,0
8340,EPX,Travel Agency,Online,2 way Comprehensive Plan,48,SINGAPORE,25,0,36,0
4995,C2B,Airlines,Online,Bronze Plan,19,SINGAPORE,40,10,41,0
4183,SSI,Airlines,Online,Ticket Protector,206,SINGAPORE,14.07,3.94,48,0
9346,EPX,Travel Agency,Online,Cancellation Plan,40,UNITED STATES,58,0,38,1
5615,EPX,Travel Agency,Online,2 way Comprehensive Plan,63,NEW ZEALAND,75,0,36,0
6898,EPX,Travel Agency,Online,Cancellation Plan,17,THAILAND,12,0,36,0
8778,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,178,AUSTRALIA,-69.3,41.58,29,0
2901,EPX,Travel Agency,Online,Cancellation Plan,2,"TAIWAN, PROVINCE OF CHINA",10,0,36,0
3873,C2B,Airlines,Online,Silver Plan,8,SINGAPORE,19.38909174,4.851589017,27,1
9929,JWT,Airlines,Online,Value Plan,10,INDIA,50,20,118,0
5337,EPX,Travel Agency,Online,2 way Comprehensive Plan,93,PHILIPPINES,20,0,36,0
4839,EPX,Travel Agency,Online,Cancellation Plan,17,MALAYSIA,17,0,28,0
7518,C2B,Airlines,Online,Annual Silver Plan,425,SINGAPORE,266.3526663,66.59087326,33,1
2574,C2B,Airlines,Online,Annual Silver Plan,365,SINGAPORE,187.85,46.96,38,1
6563,EPX,Travel Agency,Online,Cancellation Plan,34,THAILAND,10,0,32,0
9257,EPX,Travel Agency,Online,1 way Comprehensive Plan,15,SINGAPORE,22,0,36,0
2972,ART,Airlines,Online,24 Protect,36,THAILAND,39.76,13.92,48,0
6952,C2B,Airlines,Online,Silver Plan,38,SINGAPORE,31.85,7.96,25,0
7571,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,3,AUSTRALIA,29.7,17.82,31,0
4593,EPX,Travel Agency,Online,Cancellation Plan,3,SINGAPORE,13,0,36,0
4279,EPX,Travel Agency,Online,Cancellation Plan,9,ISRAEL,0,0,36,0
9903,EPX,Travel Agency,Online,1 way Comprehensive Plan,6,PHILIPPINES,20,0,36,0
3269,EPX,Travel Agency,Online,Cancellation Plan,47,INDIA,27,0,36,0
8209,TST,Travel Agency,Offline,Travel Cruise Protect,8,THAILAND,30,10.5,57,0
2354,EPX,Travel Agency,Online,Cancellation Plan,35,"TAIWAN, PROVINCE OF CHINA",49,0,36,0
7717,C2B,Airlines,Online,Annual Silver Plan,384,SINGAPORE,252.85,63.21,39,1
8832,RAB,Airlines,Online,Value Plan,11,BRUNEI DARUSSALAM,15,6,74,0
3254,C2B,Airlines,Online,Bronze Plan,41,SINGAPORE,23.5,5.88,45,0
5553,C2B,Airlines,Online,Silver Plan,62,SINGAPORE,63.5,15.88,30,0
6599,C2B,Airlines,Online,Annual Silver Plan,380,SINGAPORE,216,54,40,1
7987,C2B,Airlines,Online,Annual Silver Plan,382,SINGAPORE,216,54,33,1
9352,C2B,Airlines,Online,Bronze Plan,13,SINGAPORE,13.5,3.38,44,1
9223,EPX,Travel Agency,Online,Cancellation Plan,145,THAILAND,10,0,38,0
9936,C2B,Airlines,Online,Annual Silver Plan,417,SINGAPORE,259.2,64.8,55,0
2454,EPX,Travel Agency,Online,Cancellation Plan,245,MALAYSIA,15,0,36,0
7718,C2B,Airlines,Online,Bronze Plan,49,SINGAPORE,53,13.25,60,0
8179,C2B,Airlines,Online,Annual Silver Plan,367,SINGAPORE,216,54,33,0
2953,EPX,Travel Agency,Online,Cancellation Plan,18,THAILAND,23,0,36,0
2377,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,29,NETHERLANDS,29.7,17.82,31,0
9603,EPX,Travel Agency,Online,2 way Comprehensive Plan,22,MALAYSIA,20,0,29,0
9674,JZI,Airlines,Online,Basic Plan,11,MALAYSIA,22,7.7,67,0
8421,EPX,Travel Agency,Online,2 way Comprehensive Plan,71,MALAYSIA,20,0,36,0
3771,JZI,Airlines,Online,Basic Plan,18,UNITED KINGDOM,36,12.6,55,0
3351,EPX,Travel Agency,Online,Cancellation Plan,39,INDIA,12,0,36,0
9936,EPX,Travel Agency,Online,Cancellation Plan,4,PHILIPPINES,10,0,42,0
4373,EPX,Travel Agency,Online,1 way Comprehensive Plan,14,MYANMAR,20,0,36,0
8687,EPX,Travel Agency,Online,Cancellation Plan,5,VIET NAM,12,0,36,0
3077,EPX,Travel Agency,Online,Cancellation Plan,41,MALAYSIA,18,0,36,0
6240,EPX,Travel Agency,Online,2 way Comprehensive Plan,10,UNITED STATES,71,0,27,0
7076,EPX,Travel Agency,Online,Cancellation Plan,18,MALAYSIA,15,0,36,0
7913,C2B,Airlines,Online,Bronze Plan,4,SINGAPORE,14.17317606,3.546947663,42,1
6079,C2B,Airlines,Online,Bronze Plan,4,SINGAPORE,16,4,27,0
6189,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,24,MALAYSIA,99,59.4,43,0
7124,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,114,SOUTH AFRICA,64.16773165,38.50063899,50,1
7469,C2B,Airlines,Online,Gold Plan,9,SINGAPORE,73.5,18.38,49,0
5548,EPX,Travel Agency,Online,Cancellation Plan,186,PHILIPPINES,15,0,36,0
9160,C2B,Airlines,Online,Bronze Plan,34,SINGAPORE,23.5,5.88,26,0
7460,C2B,Airlines,Online,Bronze Plan,16,SINGAPORE,27.69399202,6.924986264,27,1
7139,JZI,Airlines,Online,Basic Plan,9,HONG KONG,26,9.1,18,0
2114,EPX,Travel Agency,Online,1 way Comprehensive Plan,51,CHINA,31,0,36,0
6409,TST,Travel Agency,Offline,Travel Cruise Protect,72,THAILAND,30,10.5,32,0
9529,C2B,Airlines,Online,Annual Silver Plan,365,SINGAPORE,252.85,63.21,41,1
8442,C2B,Airlines,Online,Bronze Plan,30,SINGAPORE,89.32975135,22.33243784,48,1
5650,EPX,Travel Agency,Online,2 way Comprehensive Plan,95,CHINA,29.42834159,0,36,1
9199,JZI,Airlines,Online,Basic Plan,2,MALAYSIA,18,6.3,53,0
2575,EPX,Travel Agency,Online,2 way Comprehensive Plan,72,JAPAN,112,0,36,0
2559,C2B,Airlines,Online,Silver Plan,17,SINGAPORE,47.5,11.88,34,0
4209,JZI,Airlines,Online,Basic Plan,47,THAILAND,22,7.7,39,0
7197,C2B,Airlines,Online,Silver Plan,20,SINGAPORE,48.41151352,12.10586267,34,1
2890,C2B,Airlines,Online,Bronze Plan,54,SINGAPORE,34.34624633,8.590792268,26,1
2398,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,58,NORWAY,49.5,29.7,52,0
9290,JZI,Airlines,Online,Basic Plan,26,INDONESIA,22,7.7,45,0
9177,EPX,Travel Agency,Online,Cancellation Plan,139,FRANCE,47,0,36,0
4516,EPX,Travel Agency,Online,Cancellation Plan,12,CHINA,19,0,36,0
5796,EPX,Travel Agency,Online,2 way Comprehensive Plan,49,CHINA,36,0,36,0
7336,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,16,THAILAND,29.7,17.82,27,1
9404,EPX,Travel Agency,Online,2 way Comprehensive Plan,58,"KOREA, REPUBLIC OF",90,0,36,0
4873,C2B,Airlines,Online,Annual Silver Plan,366,SINGAPORE,252.85,63.21,59,0
9165,EPX,Travel Agency,Online,2 way Comprehensive Plan,50,SRI LANKA,28,0,36,0
5792,C2B,Airlines,Online,Bronze Plan,46,SINGAPORE,81,20.25,67,1
7662,EPX,Travel Agency,Online,2 way Comprehensive Plan,64,JAPAN,57,0,36,0
6404,EPX,Travel Agency,Online,2 way Comprehensive Plan,38,CHINA,60,0,36,0
7732,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,5,MALAYSIA,39.6,23.76,57,0
5762,EPX,Travel Agency,Online,2 way Comprehensive Plan,79,"KOREA, REPUBLIC OF",42,0,36,0
2110,EPX,Travel Agency,Online,Cancellation Plan,13,AUSTRALIA,43,0,36,0
7392,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,51,AUSTRALIA,78.66468583,47.1988115,31,1
5659,EPX,Travel Agency,Online,Cancellation Plan,13,INDONESIA,10,0,36,0
2162,JZI,Airlines,Online,Basic Plan,23,HONG KONG,22,7.7,45,0
3901,EPX,Travel Agency,Online,2 way Comprehensive Plan,16,AUSTRALIA,0,0,36,0
2261,EPX,Travel Agency,Online,Cancellation Plan,243,UNITED STATES,53,0,42,0
4229,C2B,Airlines,Online,Annual Silver Plan,379,SINGAPORE,254.7578282,63.68770815,45,1
8767,EPX,Travel Agency,Online,Cancellation Plan,11,INDONESIA,32,0,36,0
8327,EPX,Travel Agency,Online,2 way Comprehensive Plan,6,CHINA,41,0,36,0
8208,C2B,Airlines,Online,Annual Silver Plan,365,SINGAPORE,252.85,63.21,36,1
5213,TST,Travel Agency,Offline,Travel Cruise Protect,84,MALAYSIA,30,10.5,30,0
8455,C2B,Airlines,Online,Silver Plan,14,SINGAPORE,33.98264588,8.499971975,24,1
9927,JZI,Airlines,Online,Basic Plan,38,FINLAND,69,24.15,46,0
4293,C2B,Airlines,Online,Bronze Plan,26,SINGAPORE,33.5,8.38,30,0
3759,EPX,Travel Agency,Online,1 way Comprehensive Plan,6,CAMBODIA,20,0,36,0
6709,C2B,Airlines,Online,Bronze Plan,13,SINGAPORE,33.5,8.38,23,0
2965,C2B,Airlines,Online,Annual Silver Plan,365,SINGAPORE,252.85,63.21,48,1
3943,C2B,Airlines,Online,Bronze Plan,8,SINGAPORE,16,4,30,0
8297,EPX,Travel Agency,Online,Cancellation Plan,6,VIET NAM,16,0,36,0
4120,EPX,Travel Agency,Online,2 way Comprehensive Plan,42,THAILAND,20,0,34,0
4212,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,92,IRELAND,29.7,17.82,26,0
4304,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,6,MALAYSIA,29.7,17.82,37,0
4348,C2B,Airlines,Online,Bronze Plan,36,SINGAPORE,27,6.75,43,0
8638,EPX,Travel Agency,Online,Cancellation Plan,10,UNITED ARAB EMIRATES,23,0,36,0
5344,LWC,Travel Agency,Online,Single Trip Travel Protect Gold,10,"TAIWAN, PROVINCE OF CHINA",36.5,23.73,30,1
6920,EPX,Travel Agency,Online,Cancellation Plan,7,HONG KONG,21,0,36,0
3644,JWT,Airlines,Online,Value Plan,62,INDIA,31,12.4,118,0
8895,EPX,Travel Agency,Online,1 way Comprehensive Plan,3,VIET NAM,20,0,36,0
